Dataset,Method,Epsilon,Threads,timeP_s,timeWhile_s,timeSingle_s,timeUNV_s,timeUR_s,timeC_s,timeU_s,timeAll_s,Runtime_ms,Runtime_s,numIter,numOrgVerts,numSimpVerts
bunny,P-Weld,2.800e-4,1,0.008978,0.000085,0.000249,0.000040,0.000186,0.000336,0.000131,0.010084,10.085742,0.010086,2,35947,35911
bunny,P-Weld,2.800e-4,2,0.004406,0.000040,0.000212,0.000038,0.000148,0.000254,0.000051,0.005190,5.191724,0.005192,2,35947,35911
bunny,P-Weld,2.800e-4,4,0.002451,0.000022,0.000393,0.000061,0.000280,0.000416,0.000026,0.003285,3.287039,0.003287,2,35947,35911
bunny,P-Weld,2.800e-4,8,0.001150,0.000013,0.000165,0.000032,0.000107,0.000180,0.000016,0.001696,1.697871,0.001698,2,35947,35911
bunny,P-Weld,2.800e-4,16,0.000760,0.000020,0.000212,0.000030,0.000111,0.000233,0.000028,0.001418,1.419745,0.001420,2,35947,35911
bunny,P-Weld,2.800e-4,32,0.000519,0.000030,0.000224,0.000032,0.000122,0.000255,0.000038,0.001249,1.250413,0.001250,2,35947,35911
bunny,P-Weld,2.800e-4,64,0.000984,0.002225,0.000215,0.000030,0.000112,0.002442,0.000588,0.004705,4.707615,0.004708,2,35947,35911
bunny,P-Weld,4.280e-4,1,0.009604,0.000124,0.000265,0.000060,0.000183,0.000390,0.000123,0.010778,10.779862,0.010780,2,35947,35588
bunny,P-Weld,4.280e-4,2,0.004681,0.000063,0.000226,0.000045,0.000153,0.000291,0.000049,0.005501,5.502184,0.005502,3,35947,35588
bunny,P-Weld,4.280e-4,4,0.002598,0.000034,0.000410,0.000068,0.000288,0.000445,0.000026,0.003460,3.461414,0.003461,3,35947,35588
bunny,P-Weld,4.280e-4,8,0.001226,0.000022,0.000175,0.000037,0.000111,0.000198,0.000016,0.001786,1.787841,0.001788,3,35947,35588
bunny,P-Weld,4.280e-4,16,0.000762,0.000032,0.000230,0.000037,0.000119,0.000263,0.000026,0.001443,1.444307,0.001444,3,35947,35588
bunny,P-Weld,4.280e-4,32,0.000531,0.000043,0.000230,0.000038,0.000121,0.000274,0.000039,0.001280,1.281785,0.001282,3,35947,35588
bunny,P-Weld,4.280e-4,64,0.000813,0.001119,0.000228,0.000036,0.000115,0.001348,0.000045,0.002815,2.816363,0.002816,3,35947,35588
bunny,P-Weld,9.965e-4,1,0.012643,0.000278,0.000410,0.000095,0.000293,0.000689,0.000119,0.014073,14.074663,0.014075,2,35947,32352
bunny,P-Weld,9.965e-4,2,0.006163,0.000128,0.000242,0.000073,0.000144,0.000371,0.000050,0.007059,7.060645,0.007061,3,35947,32352
bunny,P-Weld,9.965e-4,4,0.003338,0.000078,0.000430,0.000095,0.000280,0.000510,0.000026,0.004309,4.310447,0.004310,4,35947,32352
bunny,P-Weld,9.965e-4,8,0.001707,0.000050,0.000214,0.000065,0.000123,0.000266,0.000016,0.002391,2.392876,0.002393,4,35947,32352
bunny,P-Weld,9.965e-4,16,0.001147,0.000072,0.000438,0.000092,0.000271,0.000511,0.000026,0.002175,2.176694,0.002177,4,35947,32352
bunny,P-Weld,9.965e-4,32,0.000815,0.000231,0.000254,0.000061,0.000118,0.000486,0.000038,0.001854,1.856212,0.001856,4,35947,32352
bunny,P-Weld,9.965e-4,64,0.000900,0.001746,0.000248,0.000059,0.000117,0.001995,0.000046,0.003692,3.694262,0.003694,5,35947,32352
bunny,P-Weld,1.209e-3,1,0.016421,0.000419,0.000300,0.000149,0.000135,0.000720,0.000112,0.017849,17.850958,0.017851,2,35947,17977
bunny,P-Weld,1.209e-3,2,0.008203,0.000276,0.000321,0.000146,0.000148,0.000598,0.000050,0.009374,9.376028,0.009376,3,35947,17977
bunny,P-Weld,1.209e-3,4,0.004372,0.000165,0.000430,0.000155,0.000220,0.000596,0.000026,0.005560,5.562151,0.005562,4,35947,17977
bunny,P-Weld,1.209e-3,8,0.002333,0.000110,0.000427,0.000153,0.000218,0.000538,0.000016,0.003402,3.403902,0.003404,5,35947,17977
bunny,P-Weld,1.209e-3,16,0.001541,0.000147,0.000447,0.000156,0.000216,0.000596,0.000027,0.002805,2.807117,0.002807,5,35947,17977
bunny,P-Weld,1.209e-3,32,0.000915,0.000159,0.000335,0.000137,0.000130,0.000495,0.000047,0.002007,2.009047,0.002009,7,35947,17977
bunny,P-Weld,1.209e-3,64,0.000676,0.000270,0.000327,0.000132,0.000123,0.000599,0.000047,0.001907,1.908558,0.001909,9,35947,17977
bunny,P-Weld Async,2.800e-4,1,0.009065,0.000095,0.000378,0.000042,0.000156,0.000476,0.000178,0.010194,10.196433,0.010196,2,35947,35911
bunny,P-Weld Async,2.800e-4,2,0.004343,0.000044,0.000265,0.000038,0.000076,0.000311,0.000149,0.005121,5.122777,0.005123,2,35947,35911
bunny,P-Weld Async,2.800e-4,4,0.002248,0.000025,0.000206,0.000032,0.000031,0.000232,0.000141,0.002859,2.861004,0.002861,2,35947,35911
bunny,P-Weld Async,2.800e-4,8,0.001148,0.000016,0.000195,0.000031,0.000017,0.000213,0.000145,0.001700,1.702222,0.001702,2,35947,35911
bunny,P-Weld Async,2.800e-4,16,0.000711,0.000023,0.000245,0.000037,0.000020,0.000269,0.000185,0.001363,1.365268,0.001365,2,35947,35911
bunny,P-Weld Async,2.800e-4,32,0.000500,0.000034,0.000270,0.000042,0.000027,0.000306,0.000199,0.001231,1.232384,0.001232,2,35947,35911
bunny,P-Weld Async,2.800e-4,64,0.009904,0.043110,0.027664,0.010850,0.016553,0.070779,0.000255,0.081366,81.368930,0.081369,2,35947,35911
bunny,P-Weld Async,4.280e-4,1,0.009619,0.000133,0.000388,0.000052,0.000157,0.000523,0.000176,0.010781,10.782700,0.010783,2,35947,35588
bunny,P-Weld Async,4.280e-4,2,0.004617,0.000068,0.000266,0.000046,0.000068,0.000336,0.000149,0.005435,5.436553,0.005437,3,35947,35588
bunny,P-Weld Async,4.280e-4,4,0.002388,0.000037,0.000214,0.000042,0.000029,0.000253,0.000142,0.003032,3.033935,0.003034,3,35947,35588
bunny,P-Weld Async,4.280e-4,8,0.001226,0.000024,0.000204,0.000041,0.000017,0.000230,0.000144,0.001796,1.797549,0.001798,3,35947,35588
bunny,P-Weld Async,4.280e-4,16,0.000781,0.000032,0.000275,0.000071,0.000020,0.000309,0.000181,0.001490,1.491989,0.001492,3,35947,35588
