Dataset,Algo,Epsilon,Threads,timeP_s,timeC_s,timeU_s,Total_s,Runtime_ms,Runtime_s
bunny,S-Weld,2.800e-4,1,0.009645,0.001369,0.000789,0.011803,13.156041,0.013156
bunny,S-Weld,2.800e-4,2,0.004408,0.001218,0.000691,0.006317,7.414271,0.007414
bunny,S-Weld,2.800e-4,4,0.002256,0.001119,0.000661,0.004036,5.040247,0.005040
bunny,S-Weld,2.800e-4,8,0.001089,0.001115,0.000660,0.002864,3.827330,0.003827
bunny,S-Weld,2.800e-4,16,0.000737,0.001200,0.000667,0.002604,3.567698,0.003568
bunny,S-Weld,2.800e-4,32,0.000364,0.001248,0.000660,0.002272,3.250310,0.003250
bunny,S-Weld,2.800e-4,64,0.000317,0.001283,0.000660,0.002260,3.278281,0.003278
bunny,S-Weld,4.280e-4,1,0.010124,0.001357,0.000810,0.012290,13.634813,0.013635
bunny,S-Weld,4.280e-4,2,0.004680,0.001250,0.000694,0.006623,7.758744,0.007759
bunny,S-Weld,4.280e-4,4,0.002343,0.001154,0.000670,0.004167,5.181788,0.005182
bunny,S-Weld,4.280e-4,8,0.001160,0.001163,0.000668,0.002991,3.998381,0.003998
bunny,S-Weld,4.280e-4,16,0.000624,0.001296,0.000673,0.002593,3.566506,0.003567
bunny,S-Weld,4.280e-4,32,0.000701,0.001392,0.000668,0.002761,3.747800,0.003748
bunny,S-Weld,4.280e-4,64,0.000662,0.001461,0.000669,0.002791,3.839630,0.003840
bunny,S-Weld,9.965e-4,1,0.013128,0.001439,0.000775,0.015342,16.749781,0.016750
bunny,S-Weld,9.965e-4,2,0.006191,0.001308,0.000702,0.008201,9.394550,0.009395
bunny,S-Weld,9.965e-4,4,0.003125,0.001273,0.000686,0.005084,6.218484,0.006218
bunny,S-Weld,9.965e-4,8,0.001566,0.001266,0.000685,0.003517,4.552844,0.004553
bunny,S-Weld,9.965e-4,16,0.000843,0.001583,0.000708,0.003134,4.159801,0.004160
bunny,S-Weld,9.965e-4,32,0.000484,0.001792,0.000697,0.002973,4.007736,0.004008
bunny,S-Weld,9.965e-4,64,0.000356,0.001888,0.000685,0.002929,4.040387,0.004040
bunny,S-Weld,1.209e-3,1,0.016695,0.001895,0.000773,0.019363,20.694429,0.020694
